Event Category,City,Total Events
"Yes, I have heard of fake news",Roseburg,5
"Yes, I have heard of fake news",Tillamook,5
"Yes, I have heard of fake news",Aliquippa,5
"Yes, I have heard of fake news",Brookville,5
"Yes, I have heard of fake news",Bryn Mawr,5
"Yes, I have heard of fake news",Clarks Summit,5
"Yes, I have heard of fake news",Clearfield,5
"Yes, I have heard of fake news",Dillsburg,5
"Yes, I have heard of fake news",Elizabethtown,5
"Yes, I have heard of fake news",Fawn Grove,5
"Yes, I have heard of fake news",Jersey Shore,5
"Yes, I have heard of fake news",Kingston,5
"Yes, I have heard of fake news",McKeesport,5
"Yes, I have heard of fake news",Mechanicsburg,5
"Yes, I have heard of fake news",Mercersburg,5
"Yes, I have heard of fake news",Middletown,5
"Yes, I have heard of fake news",Milton,5
"Yes, I have heard of fake news",Mountain Top,5
"Yes, I have heard of fake news",New Bloomfield,5
"Yes, I have heard of fake news",Northumberland,5
"Yes, I have heard of fake news",Pottsville,5
"Yes, I have heard of fake news",Warren,5
"Yes, I have heard of fake news",Wellsboro,5
"Yes, I have heard of fake news",Williamsport,5
"Yes, I have heard of fake news",Easley,5
"Yes, I have heard of fake news",Piedmont,5
"Yes, I have heard of fake news",Brookings,5
"Yes, I have heard of fake news",Columbia,5
"Yes, I have heard of fake news",Dayton,5
"Yes, I have heard of fake news",Erwin,5
"Yes, I have heard of fake news",Jefferson City,5
"Yes, I have heard of fake news",Newport,5
"Yes, I have heard of fake news",Pigeon Forge,5
"Yes, I have heard of fake news",Wartburg,5
"Yes, I have heard of fake news",Brownsville,5
"Yes, I have heard of fake news",Georgetown,5
"Yes, I have heard of fake news",Gilmer,5
"Yes, I have heard of fake news",Granbury,5
"Yes, I have heard of fake news",Henderson,5
"Yes, I have heard of fake news",Killeen,5
"Yes, I have heard of fake news",Laredo,5
"Yes, I have heard of fake news",Longview,5
"Yes, I have heard of fake news",Mission,5
"Yes, I have heard of fake news",Paris,5
"Yes, I have heard of fake news",Logan,5
"Yes, I have heard of fake news",Mount Pleasant,5
"Yes, I have heard of fake news",Centreville,5
"Yes, I have heard of fake news",Christiansburg,5
"Yes, I have heard of fake news",Duffield,5
"Yes, I have heard of fake news",Floyd,5
"Yes, I have heard of fake news",Grundy,5
"Yes, I have heard of fake news",Lebanon,5
"Yes, I have heard of fake news",Lexington,5
"Yes, I have heard of fake news",Reston,5
"Yes, I have heard of fake news",Richmond,5
"Yes, I have heard of fake news",Springfield,5
"Yes, I have heard of fake news",Williamsburg,5
"Yes, I have heard of fake news",Cambridge,5
"Yes, I have heard of fake news",Killington,5
"Yes, I have heard of fake news",La Center,5
"Yes, I have heard of fake news",Liberty Lake,5
"Yes, I have heard of fake news",Pasco,5
"Yes, I have heard of fake news",Puyallup,5
"Yes, I have heard of fake news",Cameron,5
"Yes, I have heard of fake news",Hudson,5
"Yes, I have heard of fake news",Lancaster,5
"Yes, I have heard of fake news",Mauston,5
"Yes, I have heard of fake news",New London,5
"Yes, I have heard of fake news",Oshkosh,5
"Yes, I have heard of fake news",Portage,5
"Yes, I have heard of fake news",Prairie du Chien,5
"Yes, I have heard of fake news",Racine,5
"Yes, I have heard of fake news",Reedsburg,5
"Yes, I have heard of fake news",Two Rivers,5
"Yes, I have heard of fake news",Bridgeport,5
"Yes, I have heard of fake news",Elkins,5
"Yes, I have heard of fake news",Petersburg,5
"Yes, I have heard of fake news",Ranson,5
"Yes, I have heard of fake news",Shinnston,5
"Yes, I have heard of fake news",Powell,5
"Yes, I have heard of fake news",Thermopolis,5
"Yes, I have heard of fake news",Allendale Charter Township,5
"Yes, I have heard of fake news",Ashwaubenon,5
"Yes, I have heard of fake news",Bay Lake,5
"Yes, I have heard of fake news",Beechwood,5
"Yes, I have heard of fake news",Blaine,5
"Yes, I have heard of fake news",Bloomington,5
"Yes, I have heard of fake news",Boiling Springs,5
"Yes, I have heard of fake news",Bridgeport charter Township,5
"Yes, I have heard of fake news",Burien,5
"Yes, I have heard of fake news",Caledonia,5
"Yes, I have heard of fake news",Camano Island,5
"Yes, I have heard of fake news",Carolina Forest,5
"Yes, I have heard of fake news",Carthage,5
"Yes, I have heard of fake news",Cave Spring,5
"Yes, I have heard of fake news",Centerville,5
"Yes, I have heard of fake news",China Grove,5
"Yes, I have heard of fake news",Davie,5
"Yes, I have heard of fake news",Eldersburg,5
"Yes, I have heard of fake news",Elk Plain,5
"Yes, I have heard of fake news",Greene,5
"Yes, I have heard of fake news",Groton,5
"Yes, I have heard of fake news",Hampton Township,5
"Yes, I have heard of fake news",Hanover,5
"Yes, I have heard of fake news",Kearns,5
"Yes, I have heard of fake news",Kentwood,5
"Yes, I have heard of fake news",Lindenhurst,5
"Yes, I have heard of fake news",Lyndon,5
"Yes, I have heard of fake news",Madawaska,5
"Yes, I have heard of fake news",Maplewood,5
"Yes, I have heard of fake news",Milford,5
"Yes, I have heard of fake news",Moon,5
"Yes, I have heard of fake news",Morristown,5
"Yes, I have heard of fake news",Mount Cobb,5
"Yes, I have heard of fake news",Murray,5
"Yes, I have heard of fake news",North Naples,5
"Yes, I have heard of fake news",Oakville,5
"Yes, I have heard of fake news",Orion charter Township,5
"Yes, I have heard of fake news",Parma,5
"Yes, I have heard of fake news",Pike Creek,5
"Yes, I have heard of fake news",Roselawn,5
"Yes, I have heard of fake news",Roseville,5
"Yes, I have heard of fake news",Seville,5
"Yes, I have heard of fake news",Shoreline,5
"Yes, I have heard of fake news",Taylorsville,5
"Yes, I have heard of fake news",Walker,5
"Yes, I have heard of fake news",Wauwatosa,5
"Yes, I have heard of fake news",West Haven,5
"Yes, I have heard of fake news",Wilton,5
"Yes, I have heard of fake news",Woodbridge Township,5
"Yes, I have heard of fake news",Yarmouth,5
"Yes, I'm good at spotting fake news",Ketchikan,5
"Yes, I'm good at spotting fake news",Decatur,5
"Yes, I'm good at spotting fake news",Dothan,5
"Yes, I'm good at spotting fake news",Florence,5
"Yes, I'm good at spotting fake news",Montgomery,5
"Yes, I'm good at spotting fake news",Sylacauga,5
"Yes, I'm good at spotting fake news",Cabot,5
"Yes, I'm good at spotting fake news",Harrison,5
"Yes, I'm good at spotting fake news",Cottonwood,5
"Yes, I'm good at spotting fake news",Parker,5
"Yes, I'm good at spotting fake news",El Centro,5
"Yes, I'm good at spotting fake news",Fresno,5
"Yes, I'm good at spotting fake news",Modesto,5
"Yes, I'm good at spotting fake news",Ontario,5
"Yes, I'm good at spotting fake news",Oxnard,5
"Yes, I'm good at spotting fake news",Santa Cruz,5
"Yes, I'm good at spotting fake news",Thousand Oaks,5
"Yes, I'm good at spotting fake news",Torrance,5
"Yes, I'm good at spotting fake news",Truckee,5
"Yes, I'm good at spotting fake news",Yucca Valley,5
"Yes, I'm good at spotting fake news",Erie,5
"Yes, I'm good at spotting fake news",Fairfield,5
"Yes, I'm good at spotting fake news",Stamford,5
"Yes, I'm good at spotting fake news",West Hartford,5
"Yes, I'm good at spotting fake news",Windham,5
"Yes, I'm good at spotting fake news",Middletown,5
"Yes, I'm good at spotting fake news",Brandon,5
"Yes, I'm good at spotting fake news",Panama City,5
"Yes, I'm good at spotting fake news",Port St. Lucie,5
"Yes, I'm good at spotting fake news",Spring Hill,5
"Yes, I'm good at spotting fake news",Cleveland,5
"Yes, I'm good at spotting fake news",Gainesville,5
"Yes, I'm good at spotting fake news",Jefferson,5
"Yes, I'm good at spotting fake news",LaGrange,5
"Yes, I'm good at spotting fake news",Woodstock,5
"Yes, I'm good at spotting fake news",Honolulu,5
"Yes, I'm good at spotting fake news",Ankeny,5
"Yes, I'm good at spotting fake news",Burlington,5
"Yes, I'm good at spotting fake news",Cedar Falls,5
"Yes, I'm good at spotting fake news",Harlan,5
"Yes, I'm good at spotting fake news",North Liberty,5
"Yes, I'm good at spotting fake news",Spencer,5
"Yes, I'm good at spotting fake news",Arlington Heights,5
"Yes, I'm good at spotting fake news",Benton,5
"Yes, I'm good at spotting fake news",Bolingbrook,5
"Yes, I'm good at spotting fake news",Carbondale,5
"Yes, I'm good at spotting fake news",Galesburg,5
"Yes, I'm good at spotting fake news",Mahomet,5
"Yes, I'm good at spotting fake news",McHenry,5
"Yes, I'm good at spotting fake news",Mount Vernon,5
"Yes, I'm good at spotting fake news",Mundelein,5
"Yes, I'm good at spotting fake news",Naperville,5
"Yes, I'm good at spotting fake news",Waterloo,5
"Yes, I'm good at spotting fake news",Angola,5
"Yes, I'm good at spotting fake news",Fishers,5
"Yes, I'm good at spotting fake news",Granger,5
"Yes, I'm good at spotting fake news",Hebron,5
"Yes, I'm good at spotting fake news",Marion,5
"Yes, I'm good at spotting fake news",Seymour,5
"Yes, I'm good at spotting fake news",South Bend,5
"Yes, I'm good at spotting fake news",Terre Haute,5
"Yes, I'm good at spotting fake news",Abilene,5
"Yes, I'm good at spotting fake news",Leavenworth,5
"Yes, I'm good at spotting fake news",Olathe,5
"Yes, I'm good at spotting fake news",Overland Park,5
"Yes, I'm good at spotting fake news",Shawnee,5
"Yes, I'm good at spotting fake news",Spring Hill,5
"Yes, I'm good at spotting fake news",Florence,5
"Yes, I'm good at spotting fake news",Pikeville,5
"Yes, I'm good at spotting fake news",Scottsville,5
"Yes, I'm good at spotting fake news",Abbeville,5
"Yes, I'm good at spotting fake news",Breaux Bridge,5
"Yes, I'm good at spotting fake news",Lafayette,5
"Yes, I'm good at spotting fake news",Prairieville,5
"Yes, I'm good at spotting fake news",Framingham,5
"Yes, I'm good at spotting fake news",Lowell,5
"Yes, I'm good at spotting fake news",Nantucket,5
"Yes, I'm good at spotting fake news",Pittsfield,5
"Yes, I'm good at spotting fake news",Westfield,5
"Yes, I'm good at spotting fake news",Catonsville,5
"Yes, I'm good at spotting fake news",Frostburg,5
"Yes, I'm good at spotting fake news",McHenry,5
"Yes, I'm good at spotting fake news",Oakland,5
"Yes, I'm good at spotting fake news",Silver Spring,5
"Yes, I'm good at spotting fake news",Augusta,5
"Yes, I'm good at spotting fake news",Allen Park,5
"Yes, I'm good at spotting fake news",Battle Creek,5
"Yes, I'm good at spotting fake news",Big Rapids,5
"Yes, I'm good at spotting fake news",Blissfield,5
"Yes, I'm good at spotting fake news",Brighton,5
"Yes, I'm good at spotting fake news",Flat Rock,5
"Yes, I'm good at spotting fake news",Iron River,5
"Yes, I'm good at spotting fake news",Marlette,5
"Yes, I'm good at spotting fake news",Monroe,5
"Yes, I'm good at spotting fake news",Perry,5
"Yes, I'm good at spotting fake news",Portage,5
"Yes, I'm good at spotting fake news",Saint Clair,5
"Yes, I'm good at spotting fake news",Saint Clair Shores,5
"Yes, I'm good at spotting fake news",Warren,5
"Yes, I'm good at spotting fake news",Bagley,5
"Yes, I'm good at spotting fake news",Lakeville,5
"Yes, I'm good at spotting fake news",Sebeka,5
"Yes, I'm good at spotting fake news",Cape Girardeau,5
"Yes, I'm good at spotting fake news",Eureka,5
"Yes, I'm good at spotting fake news",Jefferson City,5
"Yes, I'm good at spotting fake news",Joplin,5
"Yes, I'm good at spotting fake news",Moberly,5
"Yes, I'm good at spotting fake news",O'Fallon,5
"Yes, I'm good at spotting fake news",Washington,5
"Yes, I'm good at spotting fake news",Fulton,5
"Yes, I'm good at spotting fake news",Gulfport,5
"Yes, I'm good at spotting fake news",Polson,5
"Yes, I'm good at spotting fake news",Cary,5
"Yes, I'm good at spotting fake news",Shelby,5
"Yes, I'm good at spotting fake news",Winston-Salem,5
"Yes, I'm good at spotting fake news",Waverly,5
"Yes, I'm good at spotting fake news",Dover,5
"Yes, I'm good at spotting fake news",Moultonborough,5
"Yes, I'm good at spotting fake news",Egg Harbor Township,5
"Yes, I'm good at spotting fake news",Haddonfield,5
"Yes, I'm good at spotting fake news",Paramus,5
"Yes, I'm good at spotting fake news",Clovis,5
"Yes, I'm good at spotting fake news",Hobbs,5
"Yes, I'm good at spotting fake news",Sparks,5
"Yes, I'm good at spotting fake news",Dunkirk,5
"Yes, I'm good at spotting fake news",Hopewell Junction,5
"Yes, I'm good at spotting fake news",Ithaca,5
"Yes, I'm good at spotting fake news",Johnson City,5
"Yes, I'm good at spotting fake news",Monticello,5
"Yes, I'm good at spotting fake news",Perry,5
"Yes, I'm good at spotting fake news",Schenectady,5
"Yes, I'm good at spotting fake news",Shirley,5
"Yes, I'm good at spotting fake news",Watertown,5
"Yes, I'm good at spotting fake news",Waverly,5
"Yes, I'm good at spotting fake news",Celina,5
"Yes, I'm good at spotting fake news",Dayton,5
"Yes, I'm good at spotting fake news",East Liverpool,5
"Yes, I'm good at spotting fake news",Girard,5
"Yes, I'm good at spotting fake news",Kenton,5
"Yes, I'm good at spotting fake news",Marietta,5
"Yes, I'm good at spotting fake news",Mason,5
"Yes, I'm good at spotting fake news",McConnelsville,5
"Yes, I'm good at spotting fake news",Perrysburg,5
"Yes, I'm good at spotting fake news",Shelby,5
"Yes, I'm good at spotting fake news",Saint Clairsville,5
"Yes, I'm good at spotting fake news",Zanesville,5
"Yes, I'm good at spotting fake news",Durant,5
"Yes, I'm good at spotting fake news",Sapulpa,5
"Yes, I'm good at spotting fake news",Dallas,5
"Yes, I'm good at spotting fake news",Eagle Point,5
"Yes, I'm good at spotting fake news",Grants Pass,5
"Yes, I'm good at spotting fake news",McMinnville,5
"Yes, I'm good at spotting fake news",Tualatin,5
"Yes, I'm good at spotting fake news",West Linn,5
"Yes, I'm good at spotting fake news",Beaver Falls,5
"Yes, I'm good at spotting fake news",Blairsville,5
"Yes, I'm good at spotting fake news",Elizabethtown,5
"Yes, I'm good at spotting fake news",Kittanning,5
"Yes, I'm good at spotting fake news",Mercersburg,5
"Yes, I'm good at spotting fake news",Punxsutawney,5
"Yes, I'm good at spotting fake news",Quarryville,5
"Yes, I'm good at spotting fake news",Upper Darby,5
"Yes, I'm good at spotting fake news",Vandergrift,5
"Yes, I'm good at spotting fake news",Washington,5
"Yes, I'm good at spotting fake news",Greer,5
"Yes, I'm good at spotting fake news",Brookings,5
"Yes, I'm good at spotting fake news",Cookeville,5
"Yes, I'm good at spotting fake news",Crossville,5
"Yes, I'm good at spotting fake news",Franklin,5
"Yes, I'm good at spotting fake news",Morristown,5
"Yes, I'm good at spotting fake news",Wartburg,5
"Yes, I'm good at spotting fake news",Cedar Park,5
"Yes, I'm good at spotting fake news",McKinney,5
"Yes, I'm good at spotting fake news",Schertz,5
"Yes, I'm good at spotting fake news",Waco,5
"Yes, I'm good at spotting fake news",Waxahachie,5
"Yes, I'm good at spotting fake news",Whitney,5
"Yes, I'm good at spotting fake news",Coalville,5
"Yes, I'm good at spotting fake news",Ephraim,5
"Yes, I'm good at spotting fake news",Lehi,5
"Yes, I'm good at spotting fake news",Santaquin,5
"Yes, I'm good at spotting fake news",Blacksburg,5
"Yes, I'm good at spotting fake news",Forest,5
"Yes, I'm good at spotting fake news",Gate City,5
"Yes, I'm good at spotting fake news",Grundy,5
"Yes, I'm good at spotting fake news",Norfolk,5
"Yes, I'm good at spotting fake news",Roanoke,5
"Yes, I'm good at spotting fake news",Killington,5
"Yes, I'm good at spotting fake news",Everett,5
"Yes, I'm good at spotting fake news",Kent,5
"Yes, I'm good at spotting fake news",Marysville,5
"Yes, I'm good at spotting fake news",Sunnyside,5
"Yes, I'm good at spotting fake news",Walla Walla,5
"Yes, I'm good at spotting fake news",Beaver Dam,5
"Yes, I'm good at spotting fake news",Manitowoc,5
"Yes, I'm good at spotting fake news",Shawano,5
"Yes, I'm good at spotting fake news",Strum,5
"Yes, I'm good at spotting fake news",Bluefield,5
"Yes, I'm good at spotting fake news",Hurricane,5
"Yes, I'm good at spotting fake news",Martinsburg,5
"Yes, I'm good at spotting fake news",Parkersburg,5
"Yes, I'm good at spotting fake news",Point Pleasant,5
"Yes, I'm good at spotting fake news",Shinnston,5
"Yes, I'm good at spotting fake news",Afton,5
"Yes, I'm good at spotting fake news",Brunswick,5
"Yes, I'm good at spotting fake news",Centerville,5
"Yes, I'm good at spotting fake news",Colonie,5
"Yes, I'm good at spotting fake news",Cross Roads,5
"Yes, I'm good at spotting fake news",Erin,5
"Yes, I'm good at spotting fake news",Fair Plain,5
"Yes, I'm good at spotting fake news",Gardnerville Ranchos,5
"Yes, I'm good at spotting fake news",Golden Valley,5
"Yes, I'm good at spotting fake news",Maple Grove,5
"Yes, I'm good at spotting fake news",Orion charter Township,5
"Yes, I'm good at spotting fake news",Parkville,5
"Yes, I'm good at spotting fake news",Pearl,5
"Yes, I'm good at spotting fake news",Rotterdam,5
"Yes, I'm good at spotting fake news",Scarborough,5
"Yes, I'm good at spotting fake news",Spring Hill,5
"Yes, I'm good at spotting fake news",Teays Valley,5
"Yes, I'm good at spotting fake news",Wellington,5
"Yes, I'm good at spotting fake news",Woodbridge Township,5
"Yes, I'm good at spotting fake news",Wyoming,5
"Yes, I'm good at spotting fake news",Ypsilanti Charter Township,5
"Yes, think I could tell if an article was telling the truth",San Diego,5
"Yes, think I could tell if an article was telling the truth",San Jose,5
"Yes, think I could tell if an article was telling the truth",West Des Moines,5
"Yes, think I could tell if an article was telling the truth",Boise,5
"Yes, think I could tell if an article was telling the truth",Idaho Falls,5
"Yes, think I could tell if an article was telling the truth",Charlotte,5
"Yes, think I could tell if an article was telling the truth",Las Vegas,5
"Yes, think I could tell if an article was telling the truth",Buffalo,5
"Yes, think I could tell if an article was telling the truth",Johnstown,5
"Yes, think I could tell if an article was telling the truth",Spokane,5
"Yes, think I could tell if an article was telling the truth",Princeton,5
Call them out,Fairbanks,4
Call them out,Pell City,4
Call them out,Van Buren,4
Call them out,Chandler,4
Call them out,Sierra Vista,4
Call them out,Anaheim,4
Call them out,El Cajon,4
Call them out,Long Beach,4
Call them out,Modesto,4
Call them out,Oxnard,4
Call them out,Pasadena,4
Call them out,Paso Robles,4
Call them out,Redding,4
Call them out,Sonora,4
Call them out,Fort Collins,4
Call them out,Glenwood Springs,4
Call them out,Greeley,4
Call them out,Monroe,4
Call them out,New Haven,4
Call them out,Oviedo,4
Call them out,St. Augustine,4
Call them out,Augusta,4
Call them out,Columbus,4
Call them out,Clinton,4
Call them out,Creston,4
Call them out,Huxley,4
Call them out,Oskaloosa,4
Call them out,Urbandale,4
Call them out,Coeur d'Alene,4
Call them out,Meridian,4
Call them out,Pocatello,4
Call them out,Arlington Heights,4
Call them out,Bolingbrook,4
Call them out,Charleston,4
Call them out,Edwardsville,4
Call them out,Marion,4
Call them out,Naperville,4
Call them out,New Lenox,4
Call them out,Roscoe,4
Call them out,Wheaton,4
Call them out,Columbia City,4
Call them out,Franklin,4
Call them out,Greenfield,4
Call them out,Marion,4
Call them out,Tell City,4
Call them out,Atchison,4
Call them out,Kansas City,4
Call them out,McPherson,4
Call them out,Pikeville,4
Call them out,West Liberty,4
Call them out,Abbeville,4
Call them out,Marrero,4
Call them out,Chicopee,4
Call them out,Framingham,4
Call them out,Greenfield,4
Call them out,Nantucket,4
Call them out,Owings Mills,4
Call them out,Augusta,4
Call them out,Bangor,4
Call them out,Brownfield,4
Call them out,Lewiston,4
Call them out,Portland,4
Call them out,Bay City,4
Call them out,East Lansing,4
Call them out,Roseville,4
Call them out,Royal Oak,4
Call them out,Troy,4
Call them out,Duluth,4
Call them out,Mankato,4
Call them out,Saint Paul,4
Call them out,Cape Girardeau,4
Call them out,Jefferson City,4
Call them out,O'Fallon,4
Call them out,Sikeston,4
Call them out,Springfield,4
Call them out,Fulton,4
Call them out,Tupelo,4
Call them out,Apex,4
Call them out,Asheboro,4
Call them out,Asheville,4
Call them out,Cary,4
Call them out,Fayetteville,4
Call them out,Franklin,4
Call them out,Goldsboro,4
Call them out,Mebane,4
Call them out,Thomasville,4
Call them out,Minot,4
Call them out,Columbus,4
Call them out,Merrimack,4
Call them out,Avon,4
Call them out,Hudson,4
Call them out,Saratoga Springs,4
Call them out,Sidney,4
Call them out,Watertown,4
Call them out,Alliance,4
Call them out,Chillicothe,4
Call them out,Cuyahoga Falls,4
Call them out,Galion,4
Call them out,Greenville,4
Call them out,Lodi,4
Call them out,Marion,4
Call them out,McConnelsville,4
Call them out,Stow,4
Call them out,Toledo,4
Call them out,Wooster,4
Call them out,Lawton,4
Call them out,Tulsa,4
Call them out,Yukon,4
Call them out,Blairsville,4
Call them out,Clearfield,4
Call them out,Ellwood City,4
Call them out,Greensburg,4
Call them out,Meadville,4
Call them out,Quarryville,4
Call them out,Somerset,4
Call them out,Cumberland,4
Call them out,Anderson,4
Call them out,Columbia,4
Call them out,Gaffney,4
Call them out,Dell Rapids,4
Call them out,Rapid City,4
Call them out,Brentwood,4
Call them out,Franklin,4
Call them out,Jasper,4
Call them out,Jefferson City,4
Call them out,Kingsport,4
Call them out,Morristown,4
Call them out,Murfreesboro,4
Call them out,Fort Worth,4
Call them out,Uvalde,4
Call them out,Coalville,4
Call them out,Provo,4
Call them out,Sandy,4
Call them out,South Jordan,4
Call them out,Vernal,4
Call them out,Roanoke,4
Call them out,Barre,4
Call them out,Redmond,4
Call them out,Beloit,4
Call them out,Beckley,4
Call them out,Moorefield,4
Call them out,Hot Springs,4
Call them out,Kentwood,4
Call them out,Parkville,4
Call them out,Pearl,4
Call them out,Rumford,4
Call them out,Southbridge,4
Call them out,West Valley City,4
Call them out,Woodbury,4
Ignore it,Juneau,4
Ignore it,Ketchikan,4
Ignore it,Geneva,4
Ignore it,Montgomery,4
Ignore it,Oxford,4
Ignore it,Bentonville,4
Ignore it,Clarksville,4
Ignore it,Fayetteville,4
Ignore it,Greenbrier,4
Ignore it,Parker,4
Ignore it,Peoria,4
Ignore it,Yuma,4
Ignore it,Apple Valley,4
Ignore it,Brea,4
Ignore it,Crescent City,4
Ignore it,Elk Grove,4
Ignore it,Garden Grove,4
Ignore it,Huntington Beach,4
Ignore it,Napa,4
Ignore it,Oxnard,4
Ignore it,Porterville,4
Ignore it,San Marcos,4
Ignore it,San Ramon,4
Ignore it,Simi Valley,4
Ignore it,Susanville,4
Ignore it,Truckee,4
Ignore it,Aspen,4
Ignore it,Fort Morgan,4
Ignore it,Granby,4
Ignore it,Trinidad,4
Ignore it,Westminster,4
Ignore it,Danbury,4
Ignore it,Newington,4
Ignore it,Norwalk,4
Ignore it,Plainville,4
Ignore it,Stamford,4
Ignore it,Waterbury,4
Ignore it,Windham,4
Ignore it,Seaford,4
Ignore it,Wilmington,4
Ignore it,Bradenton,4
Ignore it,Brandon,4
Ignore it,Cape Coral,4
Ignore it,Kissimmee,4
Ignore it,Lehigh Acres,4
Ignore it,Panama City,4
Ignore it,Port Orange,4
Ignore it,Port St. Lucie,4
Ignore it,Spring Hill,4
Ignore it,Cleveland,4
Ignore it,Dallas,4
Ignore it,Douglasville,4
Ignore it,Fort Oglethorpe,4
Ignore it,Marietta,4
Ignore it,Monticello,4
Ignore it,Ringgold,4
Ignore it,Trenton,4
Ignore it,Honolulu,4
Ignore it,Forest City,4
Ignore it,Fort Dodge,4
Ignore it,Huxley,4
Ignore it,Osceola,4
Ignore it,Oskaloosa,4
Ignore it,Pella,4
Ignore it,Spencer,4
Ignore it,Meridian,4
Ignore it,Saint Anthony,4
Ignore it,Amboy,4
Ignore it,Arlington Heights,4
Ignore it,Aurora,4
Ignore it,Edwardsville,4
Ignore it,Galesburg,4
Ignore it,Geneseo,4
Ignore it,Jacksonville,4
Ignore it,Joliet,4
Ignore it,Lombard,4
Ignore it,Mahomet,4
Ignore it,Morris,4
Ignore it,Waterloo,4
Ignore it,Clinton,4
Ignore it,Edinburgh,4
Ignore it,Granger,4
Ignore it,Hobart,4
Ignore it,Newburgh,4
Ignore it,New Pekin,4
Ignore it,Terre Haute,4
Ignore it,Washington,4
Ignore it,West Lafayette,4
Ignore it,Andover,4
Ignore it,Garden City,4
Ignore it,Hiawatha,4
Ignore it,Overland Park,4
Ignore it,Russell,4
Ignore it,Shawnee,4
Ignore it,Topeka,4
Ignore it,Berea,4
Ignore it,Cynthiana,4
Ignore it,Prestonsburg,4
Ignore it,Shelbyville,4
Ignore it,Abbeville,4
Ignore it,Breaux Bridge,4
Ignore it,Denham Springs,4
Ignore it,Houma,4
Ignore it,Marksville,4
Ignore it,Opelousas,4
Ignore it,Amherst,4
Ignore it,Attleboro,4
Ignore it,Auburn,4
Ignore it,Cambridge,4
Ignore it,Haverhill,4
Ignore it,Peabody,4
Ignore it,West Springfield,4
Ignore it,McHenry,4
Ignore it,Augusta,4
Ignore it,Ellsworth,4
Ignore it,Minot,4
Ignore it,Saint Agatha,4
Ignore it,Allen Park,4
Ignore it,Canton,4
Ignore it,Charter Township of Clinton,4
Ignore it,Flat Rock,4
Ignore it,Grand Haven,4
Ignore it,Houghton,4
Ignore it,Howell,4
Ignore it,Kalamazoo,4
Ignore it,Portage,4
Ignore it,Saint Clair,4
Ignore it,Brainerd,4
Ignore it,Cannon Falls,4
Ignore it,Montevideo,4
Ignore it,Winthrop,4
Ignore it,Bolivar,4
Ignore it,Carthage,4
Ignore it,Chesterfield,4
Ignore it,Dexter,4
Ignore it,Festus,4
Ignore it,Independence,4
Ignore it,Lebanon,4
Ignore it,O'Fallon,4
Ignore it,Perryville,4
Ignore it,Saint Joseph,4
Ignore it,West Plains,4
Ignore it,Clinton,4
Ignore it,Fulton,4
Ignore it,Gulfport,4
Ignore it,Meridian,4
Ignore it,Belgrade,4
Ignore it,Glendive,4
Ignore it,Great Falls,4
Ignore it,Sidney,4
Ignore it,Albemarle,4
Ignore it,Asheville,4
Ignore it,Hickory,4
Ignore it,High Point,4
Ignore it,Mount Holly,4
Ignore it,New Bern,4
Ignore it,Shelby,4
Ignore it,Sylva,4
Ignore it,Wake Forest,4
Ignore it,Plattsmouth,4
Ignore it,Seward,4
Ignore it,Sidney,4
Ignore it,Deerfield,4
Ignore it,Keene,4
Ignore it,Laconia,4
Ignore it,Merrimack,4
Ignore it,Rochester,4
Ignore it,Lyndhurst,4
Ignore it,Paramus,4
Ignore it,Elko,4
Ignore it,Auburn,4
Ignore it,Bath,4
Ignore it,Corinth,4
Ignore it,Corning,4
Ignore it,Cortland,4
Ignore it,Coxsackie,4
Ignore it,Dover Plains,4
Ignore it,Elmont,4
Ignore it,Hopewell Junction,4
Ignore it,Massena,4
Ignore it,Niagara Falls,4
Ignore it,Perry,4
Ignore it,Ticonderoga,4
Ignore it,Tupper Lake,4
Ignore it,Watkins Glen,4
Ignore it,Alliance,4
Ignore it,Bowling Green,4
Ignore it,Bryan,4
Ignore it,Canton,4
Ignore it,Chardon,4
Ignore it,Dayton,4
Ignore it,Defiance,4
Ignore it,Elyria,4
Ignore it,Girard,4
Ignore it,Jackson,4
Ignore it,Kenton,4
Ignore it,Lisbon,4
Ignore it,Upper Sandusky,4
Ignore it,Vermilion,4
Ignore it,Ada,4
Ignore it,Altus,4
Ignore it,Duncan,4
Ignore it,Durant,4
Ignore it,Guymon,4
Ignore it,Shawnee,4
Ignore it,Weatherford,4
Ignore it,Ashland,4
Ignore it,Beaverton,4
Ignore it,Brookings,4
Ignore it,Dallas,4
Ignore it,Lincoln City,4
Ignore it,Molalla,4
Ignore it,Pendleton,4
Ignore it,Springfield,4
Ignore it,Tualatin,4
Ignore it,Allentown,4
Ignore it,Bernville,4
Ignore it,Butler,4
Ignore it,Canton,4
Ignore it,Fawn Grove,4
Ignore it,Girard,4
Ignore it,Kingston,4
Ignore it,Millersburg,4
Ignore it,Sayre,4
Ignore it,Selinsgrove,4
Ignore it,Washington,4
Ignore it,Greenville,4
Ignore it,Rock Hill,4
Ignore it,Taylors,4
Ignore it,Baltic,4
Ignore it,Pine Ridge,4
Ignore it,Watertown,4
Ignore it,Altamont,4
Ignore it,Bethpage,4
Ignore it,Corryton,4
Ignore it,Elizabethton,4
Ignore it,Franklin,4
Ignore it,Lexington,4
Ignore it,Oak Ridge,4
Ignore it,Paris,4
Ignore it,Portland,4
Ignore it,Shelbyville,4
Ignore it,Amarillo,4
