Event Category,City,Total Events
Ignore it,Anchorage,54
"No, I don't I could tell if an article was telling the truth",New York,54
"No, I'm bad at spotting fake news",Phoenix,54
Ignore it,Columbus,53
Ignore it,Austin,53
"No, I have not heard of fake news",Detroit,53
Ignore it,San Diego,52
Share it if you like it,Dallas,52
"No, I'm bad at spotting fake news",Ann Arbor,51
"Yes, I have heard of fake news",Virginia Beach,51
"Yes, I'm good at spotting fake news",Anchorage,51
"Yes, I'm good at spotting fake news",Louisville,51
"Yes, I'm good at spotting fake news",Columbus,51
"No, I don't I could tell if an article was telling the truth",Dallas,50
"Yes, I have heard of fake news",Wichita,50
"Yes, I have heard of fake news",Eugene,50
"Yes, think I could tell if an article was telling the truth",Atlanta,50
Call them out,Portland,49
Call them out,Philadelphia,49
Ignore it,Greenville,49
"Yes, I have heard of fake news",Oklahoma City,49
"Yes, I'm good at spotting fake news",San Diego,49
"Yes, think I could tell if an article was telling the truth",New York,49
Share it if you like it,(not set),48
"Yes, I believe most news articles are true",Chicago,48
"Yes, I have heard of fake news",San Jose,48
"Yes, I'm good at spotting fake news",Greenville,48
Call them out,Minneapolis,47
Call them out,Albuquerque,47
"No, I have not heard of fake news",Omaha,47
"Yes, I have heard of fake news",Reno,47
Call them out,Ann Arbor,46
Call them out,San Antonio,46
"No, I'm bad at spotting fake news",Boston,46
"No, I'm bad at spotting fake news",Philadelphia,46
"No, I'm bad at spotting fake news",Indianapolis,45
"No, I'm bad at spotting fake news",Albuquerque,45
"Yes, I'm good at spotting fake news",Kansas City,45
"Yes, I have heard of fake news",Waterloo,44
"Yes, I have heard of fake news",Charlottesville,44
Call them out,Phoenix,43
"No, I have not heard of fake news",Phoenix,43
"No, I'm bad at spotting fake news",St. Louis,43
"Yes, I have heard of fake news",New Orleans,43
"Yes, I have heard of fake news",Missoula,43
"Yes, I have heard of fake news",Lincoln,43
"Yes, I have heard of fake news",Albany,43
"No, I believe most news articles are false",Washington,42
"No, I believe most news articles are false",Detroit,42
"No, I have not heard of fake news",Seattle,42
"No, I'm bad at spotting fake news",Colorado Springs,42
"Yes, I believe most news articles are true",New York,42
"Yes, I have heard of fake news",Milwaukee,42
"Yes, think I could tell if an article was telling the truth",Los Angeles,42
